Step,AgentID,ticketsCount,campaign_impact_factor,hasWonImpactFactor,prize_wins,new_order_count
16,7,,3.0,2.9000000000000004,"['1000 GEL', '3000 GEL', '3500 GEL', '1000 GEL', '3000 GEL', '1500 GEL', '3500 GEL', '2000 GEL', '3500 GEL', '1500 GEL', '2000 GEL']",16
16,8,,3.0,1.7,"['3000 GEL', '1500 GEL', '3500 GEL', '3000 GEL', '3500 GEL']",12
16,9,,3.0,1.0,"['3000 GEL', 'BMW M4', '2000 GEL', '3000 GEL', '3000 GEL']",3
16,10,,3.0,2.0,"['1000 GEL', '1500 GEL', '2000 GEL', '3500 GEL', '1000 GEL', '1000 GEL', '1000 GEL', '3500 GEL', '3000 GEL', 'CyberTruck', '1500 GEL']",2
17,1,,3.0,1.0,"['1500 GEL', '2000 GEL', '3000 GEL', '1500 GEL', '2000 GEL', '3500 GEL']",17
17,2,,3.0,1.0,"['1500 GEL', '1500 GEL', '3000 GEL', '3500 GEL', '1500 GEL', '2000 GEL', '1000 GEL', '2000 GEL', '1000 GEL']",17
17,3,,3.0,3.1,"['1500 GEL', '2000 GEL', '1000 GEL', '1500 GEL', '3500 GEL', '2000 GEL', '1500 GEL', '2000 GEL', '1500 GEL']",17
17,4,,3.0,1.7,"['3500 GEL', '3000 GEL', '3500 GEL', '3000 GEL', '1000 GEL', '1500 GEL']",17
17,5,,1.3,1.0,"['2000 GEL', '3000 GEL', '1000 GEL', '1000 GEL']",0
17,6,,3.0,1.6,"['2000 GEL', '1000 GEL', '1000 GEL', '3500 GEL', '1000 GEL', '3000 GEL', '3500 GEL']",17
17,7,,3.0,2.9000000000000004,"['1000 GEL', '3000 GEL', '3500 GEL', '1000 GEL', '3000 GEL', '1500 GEL', '3500 GEL', '2000 GEL', '3500 GEL', '1500 GEL', '2000 GEL']",17
17,8,,3.0,1.7,"['3000 GEL', '1500 GEL', '3500 GEL', '3000 GEL', '3500 GEL']",13
17,9,,3.0,1.0,"['3000 GEL', 'BMW M4', '2000 GEL', '3000 GEL', '3000 GEL']",3
17,10,,3.0,2.6,"['1000 GEL', '1500 GEL', '2000 GEL', '3500 GEL', '1000 GEL', '1000 GEL', '1000 GEL', '3500 GEL', '3000 GEL', 'CyberTruck', '1500 GEL']",2
18,1,,3.0,1.0,"['1500 GEL', '2000 GEL', '3000 GEL', '1500 GEL', '2000 GEL', '3500 GEL']",18
18,2,,3.0,1.0,"['1500 GEL', '1500 GEL', '3000 GEL', '3500 GEL', '1500 GEL', '2000 GEL', '1000 GEL', '2000 GEL', '1000 GEL']",18
18,3,,3.0,3.1,"['1500 GEL', '2000 GEL', '1000 GEL', '1500 GEL', '3500 GEL', '2000 GEL', '1500 GEL', '2000 GEL', '1500 GEL']",18
18,4,,3.0,2.4,"['3500 GEL', '3000 GEL', '3500 GEL', '3000 GEL', '1000 GEL', '1500 GEL']",18
18,5,,1.3,1.0,"['2000 GEL', '3000 GEL', '1000 GEL', '1000 GEL']",0
18,6,,3.0,1.6,"['2000 GEL', '1000 GEL', '1000 GEL', '3500 GEL', '1000 GEL', '3000 GEL', '3500 GEL']",18
18,7,,3.0,2.9000000000000004,"['1000 GEL', '3000 GEL', '3500 GEL', '1000 GEL', '3000 GEL', '1500 GEL', '3500 GEL', '2000 GEL', '3500 GEL', '1500 GEL', '2000 GEL']",18
18,8,,3.0,1.7,"['3000 GEL', '1500 GEL', '3500 GEL', '3000 GEL', '3500 GEL']",14
